Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
15,Com2,154,6.6,4.5,5.6,5.5,4.6,6.5,3,2,2.864
15,Com1,158,7.5,3.6,6.4,4.7,5.5,5.6,1,3,3.775
15,Com2,160,6.5,4.4,5.4,5.5,4.4,6.5,1,2,5.697
15,Com3,162,5.7,5.2,4.8,6.1,3.7,7.2,1,1,2.849
15,Com1,163,7.6,3.5,6.4,4.7,5.5,5.6,2,3,2.753
15,Com2,164,6.7,4.4,5.6,5.5,4.5,6.6,1,2,2.862
15,Com3,165,5.6,5.5,4.5,6.6,3.6,7.5,1,1,3.028
15,Com3,166,5.4,5.5,4.4,6.5,3.4,7.5,2,1,2.285
15,Com1,170,7.7,3.5,6.6,4.6,5.7,5.5,1,3,4.528
15,Com3,176,5.5,5.5,4.4,6.6,3.5,7.5,2,1,4.256
15,Com1,178,7.3,3.6,6.3,4.6,5.4,5.5,2,3,5.216
15,Com1,179,7.7,3.4,6.6,4.5,5.6,5.5,3,3,2.479
15,Com3,181,5.5,5.4,4.4,6.5,3.4,7.5,1,1,2.144
15,Com1,182,7.4,3.5,6.5,4.4,5.5,5.4,2,3,4.951
15,Com2,185,6.5,4.4,5.5,5.4,4.4,6.5,2,2,1.969
15,Com1,186,7.7,3.4,6.5,4.6,5.6,5.5,1,1,5.184
15,Com2,187,6.6,4.6,5.5,5.7,4.6,6.6,3,2,2.655
15,Com3,188,5.4,5.4,4.5,6.3,3.4,7.4,2,2,4.496
15,Com1,191,7.0,3.5,6.2,4.3,5.1,5.4,2,3,2.974
15,Com2,192,6.6,4.4,5.6,5.4,4.7,6.3,2,2,2.77
15,Com1,193,7.6,3.4,6.5,4.5,5.5,5.5,3,3,2.975
15,Com3,197,5.4,5.5,4.3,6.6,3.4,7.5,1,1,4.445
15,Com2,199,6.6,4.6,5.7,5.5,4.7,6.5,1,2,2.287
15,Com2,201,6.4,4.4,5.4,5.4,4.5,6.3,3,2,1.967
15,Com2,203,6.3,4.5,5.4,5.4,4.4,6.4,2,2,2.175
15,Com2,204,6.4,4.4,5.4,5.4,4.4,6.4,1,2,2.287
15,Com2,206,6.6,4.2,5.6,5.2,4.5,6.3,3,2,2.495
15,Com2,209,6.5,4.6,5.5,5.6,4.5,6.6,1,2,4.321
15,Com1,210,7.5,3.6,6.6,4.5,5.5,5.6,3,3,2.69
15,Com3,212,5.6,5.5,4.6,6.5,3.5,7.6,3,1,3.2
15,Com3,213,5.3,5.4,4.4,6.3,3.4,7.3,2,1,4.272
15,Com2,214,6.6,4.4,5.5,5.5,4.4,6.6,1,2,2.337
15,Com1,216,7.5,3.4,6.3,4.6,5.4,5.5,3,3,2.112
15,Com3,217,5.5,5.5,4.6,6.4,3.4,7.6,3,1,3.363
15,Com1,218,7.4,3.7,6.2,4.9,5.3,5.8,2,3,2.494
15,Com3,220,5.6,5.2,4.5,6.3,3.6,7.2,1,2,5.696
15,Com1,224,7.7,3.1,6.5,4.3,5.6,5.2,3,3,2.894
15,Com3,225,5.4,5.6,4.3,6.7,3.4,7.6,3,1,2.339
15,Com3,227,5.4,5.6,4.3,6.7,3.4,7.6,2,1,2.307
15,Com2,228,6.2,4.7,5.3,5.6,4.2,6.7,1,2,6.257
15,Com1,230,7.6,3.5,6.4,4.7,5.5,5.6,3,3,2.431
15,Com2,233,6.5,4.6,5.6,5.5,4.7,6.4,3,2,5.007
15,Com3,237,5.5,5.6,4.5,6.6,3.5,7.6,3,1,2.641
16,Com2,2,6.3,4.6,5.4,5.5,4.5,6.4,2,1,26.019
16,Com2,6,6.4,4.3,5.3,5.4,4.4,6.3,2,1,13.874
16,Com3,7,5.6,5.3,4.7,6.2,3.6,7.3,3,3,7.891
16,Com3,10,5.4,5.4,4.5,6.3,3.4,7.4,2,2,11.123
16,Com2,11,6.4,4.4,5.4,5.4,4.4,6.4,1,3,16.305
16,Com1,13,7.5,3.6,6.4,4.7,5.5,5.6,2,2,13.537
16,Com1,15,7.4,3.8,6.6,4.6,5.5,5.7,2,2,7.123
16,Com2,16,6.4,4.4,5.4,5.4,4.5,6.3,2,3,8.116
16,Com2,17,6.5,4.4,5.5,5.4,4.4,6.5,3,1,6.672
16,Com2,22,6.3,4.6,5.4,5.5,4.4,6.5,2,1,5.281
16,Com2,23,6.5,4.4,5.4,5.5,4.4,6.5,2,3,5.041
16,Com1,25,7.6,3.5,6.4,4.7,5.5,5.6,2,2,7.693
16,Com1,26,7.3,3.5,6.4,4.4,5.4,5.4,3,2,7.089
16,Com3,28,5.6,5.5,4.7,6.4,3.5,7.6,1,2,6.927
16,Com2,29,6.4,4.7,5.5,5.6,4.5,6.6,2,1,4.239
16,Com2,30,6.5,4.5,5.5,5.5,4.5,6.5,1,2,7.038
16,Com1,32,7.5,3.5,6.6,4.4,5.6,5.4,3,2,5.022
16,Com3,33,5.4,5.5,4.4,6.5,3.4,7.5,3,2,4.096
16,Com1,35,7.8,3.1,6.8,4.1,5.7,5.2,3,2,6.273
16,Com2,36,6.6,4.9,5.7,5.8,4.6,6.9,1,1,6.287
16,Com1,39,7.8,3.7,6.6,4.9,5.7,5.8,1,2,3.537
16,Com3,41,5.5,5.6,4.5,6.6,3.5,7.6,3,2,7.519
16,Com1,42,7.5,3.3,6.4,4.4,5.4,5.4,1,2,4.496
16,Com3,43,5.6,5.4,4.7,6.3,3.6,7.4,2,2,7.728
16,Com1,45,7.4,3.6,6.6,4.4,5.5,5.5,1,2,4.43
16,Com3,48,5.5,5.5,4.4,6.6,3.5,7.5,2,2,4.625
16,Com1,50,7.6,3.3,6.5,4.4,5.5,5.4,1,2,5.647
16,Com1,51,7.5,3.4,6.3,4.6,5.4,5.5,2,2,20.258
16,Com1,52,7.3,3.5,6.3,4.5,5.4,5.4,1,2,9.679
16,Com3,53,5.6,5.5,4.6,6.5,3.5,7.6,1,2,4.958
16,Com2,55,6.3,4.6,5.4,5.5,4.3,6.6,1,1,8.464
16,Com1,57,7.5,3.4,6.3,4.6,5.4,5.5,2,2,7.776
16,Com1,62,7.6,3.5,6.4,4.7,5.5,5.6,1,2,7.687
16,Com2,63,6.5,4.4,5.5,5.4,4.4,6.5,3,2,6.27
16,Com1,64,7.6,3.3,6.5,4.4,5.6,5.3,1,2,3.758
16,Com3,66,5.6,5.5,4.7,6.4,3.6,7.5,2,2,2.865
16,Com1,67,7.4,3.5,6.5,4.4,5.5,5.4,3,2,2.879
16,Com1,69,7.4,3.4,6.3,4.5,5.4,5.4,2,2,14.272
16,Com1,70,7.0,3.5,6.2,4.3,5.1,5.4,2,2,18.208
16,Com1,71,7.5,3.5,6.5,4.5,5.4,5.6,2,2,1.601
16,Com1,72,7.6,3.5,6.6,4.5,5.6,5.5,3,2,3.28
16,Com3,74,5.4,5.4,4.4,6.4,3.3,7.5,2,2,3.071
16,Com2,75,6.3,4.5,5.4,5.4,4.4,6.4,2,1,4.27
16,Com2,76,6.5,4.6,5.6,5.5,4.7,6.4,2,1,5.857
16,Com3,78,5.5,5.5,4.6,6.4,3.4,7.6,3,2,4.53
16,Com1,79,7.3,3.6,6.3,4.6,5.4,5.5,2,2,6.399
16,Com2,81,6.5,4.6,5.5,5.6,4.5,6.6,2,2,6.801
16,Com3,84,5.5,5.5,4.5,6.5,3.4,7.6,2,2,6.099
16,Com3,85,5.5,5.4,4.4,6.5,3.4,7.5,2,2,3.743
16,Com3,89,5.4,5.6,4.5,6.5,3.4,7.6,3,2,2.402
16,Com2,90,6.6,4.5,5.6,5.5,4.5,6.6,3,2,8.544
16,Com2,91,6.6,4.4,5.6,5.4,4.7,6.3,2,3,7.092
16,Com1,93,7.7,3.1,6.5,4.3,5.6,5.2,1,2,7.199
16,Com1,95,7.7,3.4,6.6,4.5,5.6,5.5,3,2,8.976
16,Com1,98,7.4,3.7,6.2,4.9,5.3,5.8,2,2,6.014
16,Com3,99,5.7,5.5,4.7,6.5,3.8,7.4,1,2,6.543
16,Com2,101,6.3,4.5,5.4,5.4,4.5,6.3,1,2,12.384
16,Com2,102,6.4,4.7,5.5,5.6,4.5,6.6,2,1,10.879
16,Com2,106,6.2,4.9,5.3,5.8,4.2,6.9,2,1,15.251
16,Com3,109,5.5,5.6,4.5,6.6,3.5,7.6,1,2,9.137
16,Com1,110,7.4,3.6,6.4,4.6,5.4,5.6,2,2,7.536
16,Com3,111,5.6,5.2,4.5,6.3,3.5,7.3,1,2,3.28
16,Com3,115,5.4,5.6,4.3,6.7,3.4,7.6,2,2,7.889
16,Com3,117,5.4,5.6,4.3,6.7,3.4,7.6,1,2,8.098
16,Com1,125,7.6,3.4,6.6,4.4,5.6,5.4,1,2,5.409
16,Com2,128,6.4,4.5,5.4,5.5,4.3,6.6,3,2,5.537
16,Com2,129,6.5,4.6,5.6,5.5,4.7,6.4,1,2,6.143
16,Com2,130,6.6,4.4,5.5,5.5,4.6,6.4,1,1,6.366
16,Com2,133,6.6,4.4,5.5,5.5,4.4,6.6,2,2,2.704
16,Com3,134,5.4,5.4,4.4,6.4,3.5,7.3,1,2,4.752
16,Com3,135,5.6,5.5,4.5,6.6,3.6,7.5,1,2,4.528
16,Com1,136,7.4,3.3,6.4,4.3,5.3,5.4,2,2,5.681
16,Com3,137,5.4,5.5,4.3,6.6,3.3,7.6,2,2,2.862
16,Com1,139,7.7,3.4,6.5,4.6,5.6,5.5,3,2,10.382
16,Com3,141,5.4,5.5,4.4,6.5,3.4,7.5,1,2,9.554
16,Com2,142,6.6,4.6,5.5,5.7,4.6,6.6,1,2,5.872
16,Com2,146,6.5,4.3,5.6,5.2,4.5,6.3,1,2,4.048
16,Com2,147,6.6,4.5,5.5,5.6,4.5,6.6,2,2,4.927
16,Com1,148,7.4,3.5,6.5,4.4,5.4,5.5,2,2,8.671
16,Com2,149,6.6,4.5,5.6,5.5,4.6,6.5,2,2,4.449
16,Com2,150,6.7,4.4,5.6,5.5,4.5,6.6,1,2,5.92
16,Com1,151,7.5,3.4,6.4,4.5,5.4,5.5,2,2,5.565
16,Com3,152,5.5,5.4,4.4,6.5,3.4,7.5,1,2,11.042
16,Com2,153,6.5,4.5,5.4,5.6,4.5,6.5,1,2,6.461
16,Com3,155,5.4,5.5,4.5,6.4,3.3,7.6,1,2,4.591
16,Com1,158,7.6,3.5,6.7,4.4,5.6,5.5,2,2,5.342
16,Com2,159,6.6,4.4,5.6,5.4,4.7,6.3,2,3,7.12
16,Com3,160,5.5,5.6,4.6,6.5,3.6,7.5,1,2,11.297
16,Com3,163,5.7,5.2,4.8,6.1,3.7,7.2,3,2,6.495
16,Com2,164,6.4,4.7,5.5,5.6,4.6,6.5,1,2,12.766
16,Com3,166,5.3,5.8,4.2,6.9,3.4,7.7,3,2,14.289
16,Com3,167,5.6,5.4,4.7,6.3,3.5,7.5,2,2,6.959
16,Com3,169,5.6,5.2,4.5,6.3,3.6,7.2,2,2,7.616
16,Com1,170,7.6,3.4,6.5,4.5,5.5,5.5,1,3,4.061
16,Com2,175,6.4,4.6,5.4,5.6,4.3,6.7,3,2,11.425
16,Com1,177,7.6,3.5,6.5,4.6,5.6,5.5,3,2,4.239
16,Com3,181,5.1,5.4,4.0,6.5,3.1,7.4,3,2,16.673
16,Com3,186,5.5,5.6,4.5,6.6,3.5,7.6,3,2,6.942
16,Com2,189,6.6,4.6,5.7,5.5,4.7,6.5,3,2,4.141
16,Com2,193,6.5,4.4,5.6,5.3,4.7,6.2,2,2,4.144
16,Com3,194,5.4,5.5,4.3,6.6,3.4,7.5,2,2,8.816
16,Com3,197,5.5,5.6,4.5,6.6,3.5,7.6,1,2,12.24
16,Com3,200,5.4,5.4,4.5,6.3,3.3,7.5,1,2,4.255
16,Com1,201,7.2,3.7,6.2,4.7,5.3,5.6,3,2,8.913
16,Com1,204,7.7,3.5,6.6,4.6,5.7,5.5,1,2,10.16
16,Com2,208,6.6,4.2,5.6,5.2,4.5,6.3,2,2,6.272
16,Com3,212,5.3,5.6,4.2,6.7,3.4,7.5,1,2,7.359
16,Com1,213,7.5,3.6,6.6,4.5,5.5,5.6,2,2,4.11
16,Com3,214,5.6,5.5,4.5,6.6,3.5,7.6,3,2,4.478
16,Com1,217,7.6,3.2,6.6,4.2,5.6,5.2,1,2,8.944
16,Com2,220,6.2,4.7,5.3,5.6,4.2,6.7,2,2,9.856
16,Com3,221,5.7,5.8,4.6,6.9,3.6,7.9,3,2,5.328
16,Com2,223,6.2,4.3,5.1,5.4,4.0,6.5,3,3,7.602
16,Com1,224,7.5,3.5,6.5,4.5,5.4,5.6,3,2,4.272
16,Com2,226,6.8,4.1,5.7,5.2,4.8,6.1,3,2,5.52
16,Com1,228,7.5,3.5,6.6,4.4,5.5,5.5,1,2,8.0
16,Com3,232,5.3,5.4,4.4,6.3,3.4,7.3,3,2,6.847
16,Com2,236,6.5,4.5,5.4,5.6,4.3,6.7,1,1,9.805
16,Com3,237,5.5,5.7,4.6,6.6,3.5,7.7,1,2,2.785
16,Com1,238,7.6,3.5,6.5,4.6,5.5,5.6,3,2,3.36
17,Com2,2,6.5,4.5,5.5,5.5,4.5,6.5,3,2,26.306
17,Com2,3,6.4,4.5,5.4,5.5,4.3,6.6,3,1,29.427
17,Com1,4,7.7,3.1,6.5,4.3,5.6,5.2,1,2,9.14
