Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
7,AttR2,8,2.2,4.8,4.5,2.5,4.5,1.9,2,2,10.862
7,SimB2,9,4.3,2.7,3.4,3.6,3.2,3.8,3,3,10.383
7,Com2,10,5.3,5.8,4.2,6.9,3.3,7.8,2,1,8.96
7,AttR2,10,2.3,4.8,4.5,2.6,4.5,1.9,2,1,10.544
7,SimA2,10,2.4,4.6,3.5,3.5,3.7,3.3,3,2,11.087
7,SimA1,11,2.4,4.7,3.5,3.6,2.2,4.9,3,2,3.519
7,AttR1,12,2.6,4.6,4.8,2.4,1.9,4.6,1,2,27.805
7,SimA2,12,2.7,4.4,3.6,3.5,3.8,3.3,1,2,3.806
7,Com1,13,7.1,3.9,5.2,5.8,4.1,6.9,3,2,4.914
7,SimA2,13,2.5,4.3,3.4,3.4,3.6,3.2,1,2,9.68
7,Com2,14,5.4,5.8,4.5,6.7,3.3,7.9,3,1,3.65
7,AttR2,14,2.2,4.8,4.5,2.5,4.5,1.9,2,1,12.031
7,AttR1,15,2.6,4.6,4.8,2.4,1.9,4.6,2,2,8.831
7,Com1,16,7.4,3.7,5.4,5.7,4.4,6.7,1,2,5.2
7,AttR2,16,2.3,4.6,4.4,2.5,4.4,1.8,2,1,4.865
7,SimA2,16,2.4,4.7,3.5,3.6,3.7,3.4,1,1,9.808
7,Com2,18,5.3,5.8,4.4,6.7,3.2,7.9,2,1,7.442
7,Com2,19,5.3,5.7,4.3,6.7,3.3,7.7,2,1,2.834
7,SimA2,19,2.7,4.5,3.6,3.6,3.8,3.4,2,2,10.863
7,Com2,20,5.3,5.6,4.4,6.5,3.3,7.6,2,1,5.859
7,SimB1,20,4.5,2.5,3.5,3.5,4.7,2.3,2,2,5.57
7,SimB2,21,4.6,2.7,3.6,3.7,3.5,3.8,1,3,11.406
7,AttR2,23,2.6,4.6,4.8,2.4,4.8,1.7,2,2,16.607
7,SimA1,23,2.7,4.5,3.6,3.6,2.5,4.7,1,2,16.305
7,AttR2,24,2.2,4.6,4.4,2.4,4.4,1.6,2,1,7.456
7,SimB1,24,4.5,2.6,3.6,3.5,4.6,2.5,2,2,9.375
7,AttR1,25,2.3,4.6,4.4,2.5,1.5,4.6,2,2,8.062
7,SimA1,25,2.4,4.6,3.5,3.5,2.2,4.8,2,2,7.199
7,Com1,27,7.4,3.6,5.3,5.7,4.3,6.7,2,2,11.264
7,AttR2,27,2.5,4.5,4.8,2.2,4.8,1.4,2,1,17.454
7,Com2,28,5.2,5.8,4.1,6.9,3.1,7.9,2,1,3.92
7,SimB2,28,4.3,2.5,3.4,3.4,3.3,3.5,3,1,12.703
7,SimA1,29,2.7,4.4,3.6,3.5,2.5,4.6,2,1,17.504
7,Com2,30,5.3,5.7,4.4,6.6,3.4,7.6,1,1,3.105
7,AttR1,31,2.3,4.6,4.5,2.4,1.7,4.6,3,1,10.958
7,SimA1,31,2.6,4.7,3.6,3.7,2.5,4.8,1,2,9.903
7,AttR1,32,2.5,4.5,4.4,2.6,1.8,4.5,3,1,9.153
7,SimA1,32,2.7,4.5,3.6,3.6,2.6,4.6,2,2,11.023
7,AttR1,33,2.5,4.5,4.7,2.3,1.8,4.5,1,2,8.766
7,AttR1,34,2.5,4.4,4.5,2.4,1.8,4.4,1,1,21.522
7,AttR2,35,2.0,4.6,4.3,2.3,4.3,1.6,2,1,9.631
7,SimA2,35,2.5,4.5,3.5,3.5,3.6,3.4,1,2,3.378
7,AttR2,36,2.5,4.5,4.4,2.6,4.4,2.0,2,1,12.402
7,Com1,37,7.4,3.5,5.3,5.6,4.4,6.5,1,2,7.952
7,SimB1,37,4.3,2.5,3.4,3.4,4.4,2.4,2,2,7.746
7,Com2,38,5.3,5.8,4.3,6.8,3.2,7.9,1,1,4.558
7,SimA1,38,2.6,4.4,3.5,3.5,2.5,4.5,1,2,7.934
7,SimB1,39,4.4,2.6,3.5,3.5,4.5,2.5,2,3,7.405
7,SimA1,40,2.5,4.5,3.5,3.5,2.4,4.6,2,2,5.601
7,Com1,41,7.3,3.5,5.2,5.6,4.1,6.7,2,2,4.945
7,Com1,43,7.4,3.5,5.3,5.6,4.3,6.6,3,2,7.215
7,AttR1,43,2.5,4.6,4.4,2.7,1.9,4.6,1,1,17.154
7,SimB1,43,4.3,2.7,3.4,3.6,4.4,2.6,1,2,6.398
7,SimB1,44,4.5,2.5,3.5,3.5,4.6,2.4,2,2,2.065
7,Com2,45,5.2,5.6,4.1,6.7,3.3,7.5,3,1,2.499
7,SimA2,45,2.7,4.5,3.6,3.6,3.8,3.4,3,2,2.769
7,Com1,46,7.3,3.6,5.3,5.6,4.4,6.5,2,2,3.232
7,AttR2,46,2.5,4.5,4.6,2.4,4.6,1.8,2,1,14.399
7,AttR1,48,2.2,4.8,4.5,2.5,1.5,4.8,1,1,13.456
7,AttR1,49,2.3,4.8,4.5,2.6,1.6,4.8,1,2,20.814
7,SimA1,49,2.4,4.6,3.4,3.6,2.2,4.8,2,2,7.76
7,AttR1,50,2.2,4.8,4.5,2.5,1.6,4.8,1,1,10.849
7,AttR2,51,2.5,4.5,4.7,2.3,4.7,1.6,3,1,10.112
7,SimB2,51,4.4,2.7,3.5,3.6,3.4,3.7,1,2,1.293
7,Com1,53,7.3,3.7,5.3,5.7,4.2,6.8,1,2,10.99
7,AttR1,53,2.5,4.5,4.8,2.2,1.9,4.5,1,1,9.345
7,SimA2,53,2.6,4.4,3.5,3.5,3.7,3.3,1,2,5.391
7,Com1,54,7.3,3.8,5.3,5.8,4.3,6.8,3,2,6.207
7,Com2,55,5.4,5.7,4.4,6.7,3.5,7.6,1,1,2.61
7,Com1,56,7.4,3.6,5.3,5.7,4.4,6.6,1,2,2.718
7,AttR2,56,2.3,4.6,4.5,2.4,4.5,1.7,3,1,11.342
7,SimB1,56,4.6,2.7,3.6,3.7,4.7,2.6,2,2,10.431
7,Com2,57,5.4,5.6,4.5,6.5,3.4,7.6,1,1,2.498
7,SimB2,57,4.4,2.6,3.5,3.5,3.4,3.6,3,2,4.641
