Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,response,choice,RT
4,SimA2,21,3.5,7.6,5.5,5.6,5.6,5.5,2,2,11.686
4,SimB1,22,7.4,3.5,5.4,5.5,7.5,3.4,3,2,14.642
4,SimA1,23,3.4,7.5,5.4,5.5,3.2,7.7,1,2,7.268
4,SimB2,24,7.6,3.5,5.5,5.6,5.4,5.7,1,2,3.169
4,SimB2,27,7.6,3.4,5.5,5.5,5.4,5.6,1,2,1.757
4,SimA2,29,3.7,7.3,5.6,5.4,5.8,5.2,1,2,3.394
4,SimB1,33,7.7,3.5,5.6,5.6,7.9,3.3,1,2,6.595
4,SimA1,35,3.3,7.6,5.4,5.5,3.1,7.8,2,2,1.854
4,SimA2,36,3.5,7.5,5.5,5.5,5.6,5.4,2,2,3.102
4,SimA1,40,3.6,7.5,5.5,5.6,3.4,7.7,2,2,6.831
4,SimA1,41,3.5,7.5,5.5,5.5,3.4,7.6,3,2,14.976
4,SimB1,44,7.6,3.4,5.5,5.5,7.7,3.3,2,2,4.991
4,SimA2,45,3.3,7.6,5.4,5.5,5.5,5.4,1,2,10.079
4,SimB1,47,7.6,3.6,5.6,5.6,7.7,3.5,3,2,13.089
4,SimA2,48,3.6,7.3,5.5,5.4,5.7,5.2,3,2,7.07
4,SimA2,49,3.5,7.5,5.5,5.5,5.6,5.4,1,2,2.335
4,SimB1,55,7.6,3.4,5.5,5.5,7.8,3.2,2,2,1.312
4,SimB2,56,7.3,3.6,5.4,5.5,5.2,5.7,2,2,1.702
4,SimA1,57,3.4,7.5,5.5,5.4,3.2,7.7,1,2,1.763
4,SimA1,58,3.6,7.4,5.5,5.5,3.5,7.5,2,2,3.471
4,SimA1,61,3.7,7.5,5.7,5.5,3.6,7.6,2,2,2.418
4,SimB1,62,7.4,3.5,5.5,5.4,7.5,3.4,2,1,17.478
4,SimA2,63,3.7,7.5,5.7,5.5,5.8,5.4,3,2,4.911
4,SimB2,64,7.3,3.7,5.4,5.6,5.2,5.8,1,2,2.224
4,SimA1,65,3.5,7.6,5.5,5.6,3.4,7.7,1,2,1.793
4,SimA1,69,3.7,7.5,5.6,5.6,3.6,7.6,1,2,9.487
4,SimB2,70,7.4,3.5,5.5,5.4,5.4,5.5,1,3,4.079
4,SimA2,71,3.5,7.5,5.5,5.5,5.6,5.4,2,2,2.945
4,SimA1,76,3.5,7.7,5.6,5.6,3.4,7.8,3,2,4.366
4,SimB1,79,7.4,3.6,5.4,5.6,7.5,3.5,3,2,3.423
4,SimB1,81,7.5,3.6,5.5,5.6,7.6,3.5,2,3,3.215
4,SimB2,83,7.4,3.5,5.5,5.4,5.3,5.6,2,2,1.806
4,SimA2,85,3.4,7.6,5.4,5.6,5.5,5.5,2,3,11.617
4,SimB2,86,7.6,3.4,5.5,5.5,5.4,5.6,2,2,1.599
4,SimA2,87,3.5,7.7,5.6,5.6,5.8,5.4,1,2,3.789
4,SimA2,88,3.5,7.6,5.5,5.6,5.6,5.5,2,2,3.52
4,SimB1,93,7.7,3.5,5.6,5.6,7.8,3.4,1,3,3.954
4,SimA2,94,3.3,7.5,5.4,5.4,5.6,5.2,1,2,2.544
4,SimB2,95,7.6,3.4,5.6,5.4,5.4,5.6,2,3,3.041
4,SimB1,96,7.6,3.4,5.5,5.5,7.8,3.2,1,2,29.665
4,SimA2,102,3.7,7.5,5.6,5.6,5.7,5.5,3,2,2.097
