username,blkNum,trlNum,A1,A2,B1,B2,C1,C2,Effect,StimType,StimPosition,rawResp,response,RT
7365,6,33,4.584967478670572,3.6186179210732696,4.382026634673881,3.8215511022640705,4.143134726391533,4.060443010546419,Com1,R,2,50,3,1.262
7365,6,40,4.584967478670572,3.651463112103504,4.406719247264253,3.829706046938929,4.1588830833596715,4.07753744390572,Com1,R,5,50,3,2.745
7365,6,42,4.406719247264253,3.7968590370189244,4.143134726391533,4.060443010546419,3.714936988433226,4.48863636973214,Com2,R,3,49,2,1.971
7365,6,45,4.564348191467836,3.6403192634985593,4.3694478524670215,3.835228350449073,4.127134385045092,4.07753744390572,Com1,R,4,49,3,3.288
7365,6,46,4.382026634673881,3.8055507609176296,4.127134385045092,4.060443010546419,3.7216612123882795,4.465908118654584,Com2,R,5,49,2,0.753
7365,6,48,4.564348191467836,3.6058510436625206,4.394449154672439,3.775744987135518,4.127134385045092,4.04305126783455,Com1,R,6,49,3,1.707
7365,6,49,4.3694478524670215,3.8181298212112136,4.127134385045092,4.060443010546419,3.6989287899669376,4.48863636973214,Com2,R,4,51,2,1.265
7365,6,51,4.574710978503383,3.61286196769002,4.394449154672439,3.79312685048429,4.127134385045092,4.060443010546419,Com1,R,2,50,3,1.128
7365,6,55,4.406719247264253,3.829706046938929,4.1588830833596715,4.07753744390572,3.7590815941408726,4.477336814478207,Com2,R,5,49,2,2.21
7365,6,57,4.584967478670572,3.565496392541229,4.394449154672439,3.7560239517432668,4.143134726391533,4.007333185232471,Com1,R,3,51,3,2.365
7365,6,58,4.564348191467836,3.639242681672834,4.406719247264253,3.7968590370189244,4.143134726391533,4.060443010546419,Com1,R,4,49,3,1.898
7365,6,61,4.382026634673881,3.8226451942769293,4.127134385045092,4.07753744390572,3.716032452106441,4.48863636973214,Com2,R,5,49,2,1.261
7365,6,63,4.394449154672439,3.775744987135518,4.127134385045092,4.04305126783455,3.704285174263785,4.465908118654584,Com2,R,4,51,2,2.504
7365,6,64,4.564348191467836,3.639242681672834,4.406719247264253,3.7968590370189244,4.143134726391533,4.060443010546419,Com1,R,6,49,3,1.453
